"bimod","bistab","tree_type","cell"
FALSE,0,"tree_uni",121
FALSE,0,"tree_tip",121
FALSE,0,"tree_uni_scatter5",121
FALSE,0,"tree_tip_scatter5",121
FALSE,0,"tree_uni_scatter10",121
FALSE,0,"tree_tip_scatter10",121
FALSE,0,"tree_uni_scatter15",121
FALSE,0,"tree_tip_scatter15",121
TRUE,15.4077755971264,"tree_uni",70
FALSE,0,"tree_tip",70
FALSE,0,"tree_uni_scatter5",70
FALSE,0,"tree_tip_scatter5",70
FALSE,0,"tree_uni_scatter10",70
FALSE,0,"tree_tip_scatter10",70
FALSE,0,"tree_uni_scatter15",70
FALSE,0,"tree_tip_scatter15",70
FALSE,0,"tree_uni",155
TRUE,73.2075527622416,"tree_tip",155
FALSE,0,"tree_uni_scatter5",155
TRUE,74.4324660368235,"tree_tip_scatter5",155
FALSE,0,"tree_uni_scatter10",155
TRUE,69.3313689840598,"tree_tip_scatter10",155
FALSE,0,"tree_uni_scatter15",155
TRUE,93.1097760490529,"tree_tip_scatter15",155
FALSE,0,"tree_uni",79
TRUE,66.0640027478371,"tree_tip",79
FALSE,0,"tree_uni_scatter5",79
FALSE,0,"tree_tip_scatter5",79
FALSE,0,"tree_uni_scatter10",79
FALSE,0,"tree_tip_scatter10",79
FALSE,0,"tree_uni_scatter15",79
FALSE,0,"tree_tip_scatter15",79
TRUE,11.0138313053165,"tree_uni",106
TRUE,37.3043082497965,"tree_tip",106
FALSE,0,"tree_uni_scatter5",106
TRUE,35.5110389013114,"tree_tip_scatter5",106
FALSE,0,"tree_uni_scatter10",106
FALSE,0,"tree_tip_scatter10",106
FALSE,0,"tree_uni_scatter15",106
FALSE,0,"tree_tip_scatter15",106
FALSE,0,"tree_uni",84
TRUE,36.0147301844825,"tree_tip",84
FALSE,0,"tree_uni_scatter5",84
TRUE,34.8704198390821,"tree_tip_scatter5",84
FALSE,0,"tree_uni_scatter10",84
FALSE,0,"tree_tip_scatter10",84
FALSE,0,"tree_uni_scatter15",84
FALSE,0,"tree_tip_scatter15",84
TRUE,35.0651271870566,"tree_uni",67
TRUE,58.8985645556866,"tree_tip",67
FALSE,0,"tree_uni_scatter5",67
TRUE,59.5537435747166,"tree_tip_scatter5",67
FALSE,0,"tree_uni_scatter10",67
FALSE,0,"tree_tip_scatter10",67
FALSE,0,"tree_uni_scatter15",67
FALSE,0,"tree_tip_scatter15",67
FALSE,0,"tree_uni",116
FALSE,0,"tree_tip",116
FALSE,0,"tree_uni_scatter5",116
FALSE,0,"tree_tip_scatter5",116
FALSE,0,"tree_uni_scatter10",116
FALSE,0,"tree_tip_scatter10",116
FALSE,0,"tree_uni_scatter15",116
FALSE,0,"tree_tip_scatter15",116
FALSE,0,"tree_uni",120
TRUE,60.6443828480012,"tree_tip",120
FALSE,0,"tree_uni_scatter5",120
TRUE,59.5097421938605,"tree_tip_scatter5",120
FALSE,0,"tree_uni_scatter10",120
TRUE,60.1074341464807,"tree_tip_scatter10",120
FALSE,0,"tree_uni_scatter15",120
TRUE,66.8770304677047,"tree_tip_scatter15",120
FALSE,0,"tree_uni",117
FALSE,0,"tree_tip",117
FALSE,0,"tree_uni_scatter5",117
FALSE,0,"tree_tip_scatter5",117
FALSE,0,"tree_uni_scatter10",117
FALSE,0,"tree_tip_scatter10",117
FALSE,0,"tree_uni_scatter15",117
FALSE,0,"tree_tip_scatter15",117
FALSE,0,"tree_uni",4
TRUE,64.4420109689052,"tree_tip",4
FALSE,0,"tree_uni_scatter5",4
TRUE,64.5101598648019,"tree_tip_scatter5",4
FALSE,0,"tree_uni_scatter10",4
TRUE,68.5909259746199,"tree_tip_scatter10",4
FALSE,0,"tree_uni_scatter15",4
TRUE,81.8985640477242,"tree_tip_scatter15",4
FALSE,0,"tree_uni",133
FALSE,0,"tree_tip",133
FALSE,0,"tree_uni_scatter5",133
FALSE,0,"tree_tip_scatter5",133
FALSE,0,"tree_uni_scatter10",133
FALSE,0,"tree_tip_scatter10",133
FALSE,0,"tree_uni_scatter15",133
FALSE,0,"tree_tip_scatter15",133
TRUE,18.5804708290697,"tree_uni",69
TRUE,60.4896593712735,"tree_tip",69
FALSE,0,"tree_uni_scatter5",69
TRUE,63.3369301846847,"tree_tip_scatter5",69
FALSE,0,"tree_uni_scatter10",69
TRUE,63.3659476297764,"tree_tip_scatter10",69
FALSE,0,"tree_uni_scatter15",69
TRUE,85.3357849554172,"tree_tip_scatter15",69
TRUE,4.00742275587465,"tree_uni",44
TRUE,60.5103725438163,"tree_tip",44
FALSE,0,"tree_uni_scatter5",44
TRUE,59.2062015420136,"tree_tip_scatter5",44
FALSE,0,"tree_uni_scatter10",44
TRUE,63.231093034488,"tree_tip_scatter10",44
FALSE,0,"tree_uni_scatter15",44
TRUE,76.3556583150282,"tree_tip_scatter15",44
FALSE,0,"tree_uni",3
TRUE,60.8434198250514,"tree_tip",3
FALSE,0,"tree_uni_scatter5",3
TRUE,61.1357931706925,"tree_tip_scatter5",3
FALSE,0,"tree_uni_scatter10",3
TRUE,62.1000444910097,"tree_tip_scatter10",3
FALSE,0,"tree_uni_scatter15",3
TRUE,63.5303691000535,"tree_tip_scatter15",3
FALSE,0,"tree_uni",83
FALSE,0,"tree_tip",83
FALSE,0,"tree_uni_scatter5",83
FALSE,0,"tree_tip_scatter5",83
FALSE,0,"tree_uni_scatter10",83
FALSE,0,"tree_tip_scatter10",83
FALSE,0,"tree_uni_scatter15",83
FALSE,0,"tree_tip_scatter15",83
FALSE,0,"tree_uni",154
TRUE,60.5856163259847,"tree_tip",154
FALSE,0,"tree_uni_scatter5",154
TRUE,61.7372497831441,"tree_tip_scatter5",154
FALSE,0,"tree_uni_scatter10",154
TRUE,64.8619753773933,"tree_tip_scatter10",154
FALSE,0,"tree_uni_scatter15",154
FALSE,0,"tree_tip_scatter15",154
FALSE,0,"tree_uni",153
TRUE,73.1383112766893,"tree_tip",153
FALSE,0,"tree_uni_scatter5",153
TRUE,72.9984284864,"tree_tip_scatter5",153
FALSE,0,"tree_uni_scatter10",153
TRUE,69.1267044086476,"tree_tip_scatter10",153
FALSE,0,"tree_uni_scatter15",153
TRUE,84.5468624039434,"tree_tip_scatter15",153
FALSE,0,"tree_uni",5
TRUE,39.5572614543205,"tree_tip",5
FALSE,0,"tree_uni_scatter5",5
TRUE,39.5034874161096,"tree_tip_scatter5",5
FALSE,0,"tree_uni_scatter10",5
FALSE,0,"tree_tip_scatter10",5
FALSE,0,"tree_uni_scatter15",5
FALSE,0,"tree_tip_scatter15",5
FALSE,0,"tree_uni",40
TRUE,67.2461325138896,"tree_tip",40
FALSE,0,"tree_uni_scatter5",40
TRUE,63.5522536673872,"tree_tip_scatter5",40
FALSE,0,"tree_uni_scatter10",40
TRUE,64.568833681794,"tree_tip_scatter10",40
FALSE,0,"tree_uni_scatter15",40
TRUE,65.2617725420978,"tree_tip_scatter15",40
FALSE,0,"tree_uni",2
FALSE,0,"tree_tip",2
FALSE,0,"tree_uni_scatter5",2
FALSE,0,"tree_tip_scatter5",2
FALSE,0,"tree_uni_scatter10",2
FALSE,0,"tree_tip_scatter10",2
FALSE,0,"tree_uni_scatter15",2
FALSE,0,"tree_tip_scatter15",2
FALSE,0,"tree_uni",119
FALSE,0,"tree_tip",119
FALSE,0,"tree_uni_scatter5",119
FALSE,0,"tree_tip_scatter5",119
FALSE,0,"tree_uni_scatter10",119
FALSE,0,"tree_tip_scatter10",119
FALSE,0,"tree_uni_scatter15",119
FALSE,0,"tree_tip_scatter15",119
FALSE,0,"tree_uni",92
TRUE,60.584594221332,"tree_tip",92
FALSE,0,"tree_uni_scatter5",92
TRUE,63.0330584522055,"tree_tip_scatter5",92
FALSE,0,"tree_uni_scatter10",92
FALSE,0,"tree_tip_scatter10",92
FALSE,0,"tree_uni_scatter15",92
FALSE,0,"tree_tip_scatter15",92
FALSE,0,"tree_uni",93
TRUE,73.207614381911,"tree_tip",93
FALSE,0,"tree_uni_scatter5",93
TRUE,72.0854279514749,"tree_tip_scatter5",93
FALSE,0,"tree_uni_scatter10",93
TRUE,69.3264976401577,"tree_tip_scatter10",93
FALSE,0,"tree_uni_scatter15",93
TRUE,89.7928296140775,"tree_tip_scatter15",93
FALSE,0,"tree_uni",157
FALSE,0,"tree_tip",157
FALSE,0,"tree_uni_scatter5",157
FALSE,0,"tree_tip_scatter5",157
FALSE,0,"tree_uni_scatter10",157
FALSE,0,"tree_tip_scatter10",157
FALSE,0,"tree_uni_scatter15",157
FALSE,0,"tree_tip_scatter15",157
TRUE,26.1351305322696,"tree_uni",151
TRUE,73.3002033463588,"tree_tip",151
FALSE,0,"tree_uni_scatter5",151
TRUE,74.4114758358251,"tree_tip_scatter5",151
FALSE,0,"tree_uni_scatter10",151
TRUE,68.4100934377096,"tree_tip_scatter10",151
FALSE,0,"tree_uni_scatter15",151
TRUE,92.2837834591199,"tree_tip_scatter15",151
FALSE,0,"tree_uni",152
FALSE,0,"tree_tip",152
