"bimod","bistab","tree_type","cell"
FALSE,0,"tree_uni",121
FALSE,0,"tree_tip",121
FALSE,0,"tree_uni_scatter5",121
TRUE,10.2912510094386,"tree_tip_scatter5",121
FALSE,0,"tree_uni_scatter10",121
FALSE,0,"tree_tip_scatter10",121
FALSE,0,"tree_uni_scatter15",121
FALSE,0,"tree_tip_scatter15",121
FALSE,0,"tree_uni",70
FALSE,0,"tree_tip",70
FALSE,0,"tree_uni_scatter5",70
FALSE,0,"tree_tip_scatter5",70
FALSE,0,"tree_uni_scatter10",70
FALSE,0,"tree_tip_scatter10",70
FALSE,0,"tree_uni_scatter15",70
FALSE,0,"tree_tip_scatter15",70
TRUE,2.89837630728239,"tree_uni",155
TRUE,73.1962606808964,"tree_tip",155
FALSE,0,"tree_uni_scatter5",155
TRUE,74.1506374880142,"tree_tip_scatter5",155
FALSE,0,"tree_uni_scatter10",155
TRUE,70.6399613886651,"tree_tip_scatter10",155
FALSE,0,"tree_uni_scatter15",155
FALSE,0,"tree_tip_scatter15",155
FALSE,0,"tree_uni",79
TRUE,35.3397943354475,"tree_tip",79
FALSE,0,"tree_uni_scatter5",79
TRUE,38.6877832886713,"tree_tip_scatter5",79
FALSE,0,"tree_uni_scatter10",79
FALSE,0,"tree_tip_scatter10",79
FALSE,0,"tree_uni_scatter15",79
FALSE,0,"tree_tip_scatter15",79
TRUE,9.0010642627204,"tree_uni",106
FALSE,0,"tree_tip",106
FALSE,0,"tree_uni_scatter5",106
TRUE,7.77673711094991,"tree_tip_scatter5",106
FALSE,0,"tree_uni_scatter10",106
FALSE,0,"tree_tip_scatter10",106
FALSE,0,"tree_uni_scatter15",106
FALSE,0,"tree_tip_scatter15",106
FALSE,0,"tree_uni",84
TRUE,35.3686953863686,"tree_tip",84
FALSE,0,"tree_uni_scatter5",84
TRUE,34.7587983183401,"tree_tip_scatter5",84
FALSE,0,"tree_uni_scatter10",84
FALSE,0,"tree_tip_scatter10",84
FALSE,0,"tree_uni_scatter15",84
FALSE,0,"tree_tip_scatter15",84
FALSE,0,"tree_uni",67
TRUE,55.4084256943687,"tree_tip",67
FALSE,0,"tree_uni_scatter5",67
TRUE,54.9671220256762,"tree_tip_scatter5",67
FALSE,0,"tree_uni_scatter10",67
FALSE,0,"tree_tip_scatter10",67
FALSE,0,"tree_uni_scatter15",67
FALSE,0,"tree_tip_scatter15",67
FALSE,0,"tree_uni",116
FALSE,0,"tree_tip",116
FALSE,0,"tree_uni_scatter5",116
FALSE,0,"tree_tip_scatter5",116
FALSE,0,"tree_uni_scatter10",116
FALSE,0,"tree_tip_scatter10",116
FALSE,0,"tree_uni_scatter15",116
FALSE,0,"tree_tip_scatter15",116
TRUE,12.4758206598749,"tree_uni",120
TRUE,36.2856921598393,"tree_tip",120
FALSE,0,"tree_uni_scatter5",120
TRUE,34.6137405452572,"tree_tip_scatter5",120
FALSE,0,"tree_uni_scatter10",120
FALSE,0,"tree_tip_scatter10",120
FALSE,0,"tree_uni_scatter15",120
FALSE,0,"tree_tip_scatter15",120
FALSE,0,"tree_uni",117
FALSE,0,"tree_tip",117
FALSE,0,"tree_uni_scatter5",117
FALSE,0,"tree_tip_scatter5",117
FALSE,0,"tree_uni_scatter10",117
FALSE,0,"tree_tip_scatter10",117
FALSE,0,"tree_uni_scatter15",117
FALSE,0,"tree_tip_scatter15",117
TRUE,9.14258921993014,"tree_uni",4
FALSE,0,"tree_tip",4
FALSE,0,"tree_uni_scatter5",4
FALSE,0,"tree_tip_scatter5",4
FALSE,0,"tree_uni_scatter10",4
FALSE,0,"tree_tip_scatter10",4
FALSE,0,"tree_uni_scatter15",4
FALSE,0,"tree_tip_scatter15",4
FALSE,0,"tree_uni",133
TRUE,15.1512339896033,"tree_tip",133
FALSE,0,"tree_uni_scatter5",133
FALSE,0,"tree_tip_scatter5",133
FALSE,0,"tree_uni_scatter10",133
FALSE,0,"tree_tip_scatter10",133
FALSE,0,"tree_uni_scatter15",133
FALSE,0,"tree_tip_scatter15",133
FALSE,0,"tree_uni",69
FALSE,0,"tree_tip",69
FALSE,0,"tree_uni_scatter5",69
FALSE,0,"tree_tip_scatter5",69
FALSE,0,"tree_uni_scatter10",69
FALSE,0,"tree_tip_scatter10",69
FALSE,0,"tree_uni_scatter15",69
FALSE,0,"tree_tip_scatter15",69
TRUE,2.04808405386239,"tree_uni",44
TRUE,35.5829516410167,"tree_tip",44
FALSE,0,"tree_uni_scatter5",44
TRUE,35.547937186153,"tree_tip_scatter5",44
FALSE,0,"tree_uni_scatter10",44
TRUE,31.1281299763173,"tree_tip_scatter10",44
FALSE,0,"tree_uni_scatter15",44
FALSE,0,"tree_tip_scatter15",44
FALSE,0,"tree_uni",3
FALSE,0,"tree_tip",3
FALSE,0,"tree_uni_scatter5",3
TRUE,15.9838467200839,"tree_tip_scatter5",3
FALSE,0,"tree_uni_scatter10",3
FALSE,0,"tree_tip_scatter10",3
FALSE,0,"tree_uni_scatter15",3
FALSE,0,"tree_tip_scatter15",3
FALSE,0,"tree_uni",83
FALSE,0,"tree_tip",83
FALSE,0,"tree_uni_scatter5",83
FALSE,0,"tree_tip_scatter5",83
FALSE,0,"tree_uni_scatter10",83
FALSE,0,"tree_tip_scatter10",83
TRUE,29.8745179569543,"tree_uni_scatter15",83
FALSE,0,"tree_tip_scatter15",83
TRUE,12.2336734958116,"tree_uni",154
TRUE,73.2035805244154,"tree_tip",154
FALSE,0,"tree_uni_scatter5",154
TRUE,74.0644820317634,"tree_tip_scatter5",154
FALSE,0,"tree_uni_scatter10",154
TRUE,79.544095552804,"tree_tip_scatter10",154
FALSE,0,"tree_uni_scatter15",154
TRUE,72.1411574386963,"tree_tip_scatter15",154
TRUE,3.39180605521421,"tree_uni",153
TRUE,73.2056709463119,"tree_tip",153
FALSE,0,"tree_uni_scatter5",153
TRUE,74.3369028197845,"tree_tip_scatter5",153
FALSE,0,"tree_uni_scatter10",153
TRUE,69.807718886605,"tree_tip_scatter10",153
FALSE,0,"tree_uni_scatter15",153
TRUE,94.3395231658896,"tree_tip_scatter15",153
TRUE,9.26038990169017,"tree_uni",5
TRUE,55.5334717081529,"tree_tip",5
FALSE,0,"tree_uni_scatter5",5
TRUE,59.5609418074472,"tree_tip_scatter5",5
FALSE,0,"tree_uni_scatter10",5
TRUE,53.5969061701099,"tree_tip_scatter10",5
FALSE,0,"tree_uni_scatter15",5
FALSE,0,"tree_tip_scatter15",5
TRUE,5.81301940214519,"tree_uni",40
FALSE,0,"tree_tip",40
FALSE,0,"tree_uni_scatter5",40
FALSE,0,"tree_tip_scatter5",40
FALSE,0,"tree_uni_scatter10",40
FALSE,0,"tree_tip_scatter10",40
FALSE,0,"tree_uni_scatter15",40
FALSE,0,"tree_tip_scatter15",40
FALSE,0,"tree_uni",2
FALSE,0,"tree_tip",2
FALSE,0,"tree_uni_scatter5",2
FALSE,0,"tree_tip_scatter5",2
FALSE,0,"tree_uni_scatter10",2
FALSE,0,"tree_tip_scatter10",2
FALSE,0,"tree_uni_scatter15",2
FALSE,0,"tree_tip_scatter15",2
FALSE,0,"tree_uni",119
FALSE,0,"tree_tip",119
FALSE,0,"tree_uni_scatter5",119
FALSE,0,"tree_tip_scatter5",119
FALSE,0,"tree_uni_scatter10",119
FALSE,0,"tree_tip_scatter10",119
FALSE,0,"tree_uni_scatter15",119
FALSE,0,"tree_tip_scatter15",119
TRUE,5.39886915183088,"tree_uni",92
TRUE,60.6070913790225,"tree_tip",92
FALSE,0,"tree_uni_scatter5",92
TRUE,59.8584702315564,"tree_tip_scatter5",92
FALSE,0,"tree_uni_scatter10",92
FALSE,0,"tree_tip_scatter10",92
FALSE,0,"tree_uni_scatter15",92
FALSE,0,"tree_tip_scatter15",92
TRUE,18.0080964364251,"tree_uni",93
TRUE,35.321713860771,"tree_tip",93
FALSE,0,"tree_uni_scatter5",93
FALSE,0,"tree_tip_scatter5",93
FALSE,0,"tree_uni_scatter10",93
FALSE,0,"tree_tip_scatter10",93
FALSE,0,"tree_uni_scatter15",93
FALSE,0,"tree_tip_scatter15",93
FALSE,0,"tree_uni",157
FALSE,0,"tree_tip",157
FALSE,0,"tree_uni_scatter5",157
FALSE,0,"tree_tip_scatter5",157
FALSE,0,"tree_uni_scatter10",157
FALSE,0,"tree_tip_scatter10",157
FALSE,0,"tree_uni_scatter15",157
FALSE,0,"tree_tip_scatter15",157
FALSE,0,"tree_uni",151
TRUE,60.8706137651562,"tree_tip",151
FALSE,0,"tree_uni_scatter5",151
TRUE,58.5409867542351,"tree_tip_scatter5",151
FALSE,0,"tree_uni_scatter10",151
TRUE,60.548395486384,"tree_tip_scatter10",151
FALSE,0,"tree_uni_scatter15",151
TRUE,70.4222514669747,"tree_tip_scatter15",151
FALSE,0,"tree_uni",152
FALSE,0,"tree_tip",152
FALSE,0,"tree_uni_scatter5",152
FALSE,0,"tree_tip_scatter5",152
FALSE,0,"tree_uni_scatter10",152
