"bimod","bistab","tree_type","cell"
TRUE,8.93056415607802,"tree_uni",121
FALSE,0,"tree_tip",121
FALSE,0,"tree_uni_scatter5",121
FALSE,0,"tree_tip_scatter5",121
FALSE,0,"tree_uni_scatter10",121
FALSE,0,"tree_tip_scatter10",121
FALSE,0,"tree_uni_scatter15",121
FALSE,0,"tree_tip_scatter15",121
FALSE,0,"tree_uni",70
FALSE,0,"tree_tip",70
FALSE,0,"tree_uni_scatter5",70
FALSE,0,"tree_tip_scatter5",70
FALSE,0,"tree_uni_scatter10",70
FALSE,0,"tree_tip_scatter10",70
FALSE,0,"tree_uni_scatter15",70
FALSE,0,"tree_tip_scatter15",70
TRUE,2.34759791940002,"tree_uni",155
TRUE,73.2006886844557,"tree_tip",155
FALSE,0,"tree_uni_scatter5",155
TRUE,74.6864932971069,"tree_tip_scatter5",155
FALSE,0,"tree_uni_scatter10",155
FALSE,0,"tree_tip_scatter10",155
FALSE,0,"tree_uni_scatter15",155
TRUE,67.1321477906604,"tree_tip_scatter15",155
FALSE,0,"tree_uni",79
TRUE,35.2492321466765,"tree_tip",79
FALSE,0,"tree_uni_scatter5",79
TRUE,35.3167473434106,"tree_tip_scatter5",79
FALSE,0,"tree_uni_scatter10",79
FALSE,0,"tree_tip_scatter10",79
FALSE,0,"tree_uni_scatter15",79
FALSE,0,"tree_tip_scatter15",79
TRUE,9.51092827201036,"tree_uni",106
FALSE,0,"tree_tip",106
FALSE,0,"tree_uni_scatter5",106
FALSE,0,"tree_tip_scatter5",106
FALSE,0,"tree_uni_scatter10",106
TRUE,18.0632693324195,"tree_tip_scatter10",106
FALSE,0,"tree_uni_scatter15",106
FALSE,0,"tree_tip_scatter15",106
FALSE,0,"tree_uni",84
TRUE,35.4007050509728,"tree_tip",84
FALSE,0,"tree_uni_scatter5",84
TRUE,35.0183629324439,"tree_tip_scatter5",84
FALSE,0,"tree_uni_scatter10",84
TRUE,31.3911161005614,"tree_tip_scatter10",84
FALSE,0,"tree_uni_scatter15",84
FALSE,0,"tree_tip_scatter15",84
FALSE,0,"tree_uni",67
TRUE,55.4227188535483,"tree_tip",67
FALSE,0,"tree_uni_scatter5",67
TRUE,57.7482442957594,"tree_tip_scatter5",67
FALSE,0,"tree_uni_scatter10",67
TRUE,63.2005581561768,"tree_tip_scatter10",67
FALSE,0,"tree_uni_scatter15",67
FALSE,0,"tree_tip_scatter15",67
FALSE,0,"tree_uni",116
FALSE,0,"tree_tip",116
FALSE,0,"tree_uni_scatter5",116
FALSE,0,"tree_tip_scatter5",116
FALSE,0,"tree_uni_scatter10",116
FALSE,0,"tree_tip_scatter10",116
FALSE,0,"tree_uni_scatter15",116
FALSE,0,"tree_tip_scatter15",116
TRUE,10.7656284478842,"tree_uni",120
TRUE,36.2856921598393,"tree_tip",120
FALSE,0,"tree_uni_scatter5",120
TRUE,35.2681185272321,"tree_tip_scatter5",120
FALSE,0,"tree_uni_scatter10",120
TRUE,35.5143105577768,"tree_tip_scatter10",120
FALSE,0,"tree_uni_scatter15",120
FALSE,0,"tree_tip_scatter15",120
FALSE,0,"tree_uni",117
FALSE,0,"tree_tip",117
FALSE,0,"tree_uni_scatter5",117
FALSE,0,"tree_tip_scatter5",117
FALSE,0,"tree_uni_scatter10",117
FALSE,0,"tree_tip_scatter10",117
FALSE,0,"tree_uni_scatter15",117
FALSE,0,"tree_tip_scatter15",117
TRUE,11.8716528462014,"tree_uni",4
FALSE,0,"tree_tip",4
FALSE,0,"tree_uni_scatter5",4
FALSE,0,"tree_tip_scatter5",4
FALSE,0,"tree_uni_scatter10",4
FALSE,0,"tree_tip_scatter10",4
FALSE,0,"tree_uni_scatter15",4
FALSE,0,"tree_tip_scatter15",4
FALSE,0,"tree_uni",133
TRUE,58.0796844662371,"tree_tip",133
FALSE,0,"tree_uni_scatter5",133
TRUE,62.0681728514401,"tree_tip_scatter5",133
FALSE,0,"tree_uni_scatter10",133
FALSE,0,"tree_tip_scatter10",133
FALSE,0,"tree_uni_scatter15",133
FALSE,0,"tree_tip_scatter15",133
FALSE,0,"tree_uni",69
FALSE,0,"tree_tip",69
FALSE,0,"tree_uni_scatter5",69
FALSE,0,"tree_tip_scatter5",69
FALSE,0,"tree_uni_scatter10",69
FALSE,0,"tree_tip_scatter10",69
FALSE,0,"tree_uni_scatter15",69
FALSE,0,"tree_tip_scatter15",69
FALSE,0,"tree_uni",44
TRUE,60.6351936638041,"tree_tip",44
FALSE,0,"tree_uni_scatter5",44
TRUE,60.6112340114311,"tree_tip_scatter5",44
FALSE,0,"tree_uni_scatter10",44
