"bimod","bistab","tree_type","cell"
FALSE,0,"tree_uni",127
TRUE,73.6564639972733,"tree_tip",127
FALSE,0,"tree_uni_scatter5",127
TRUE,73.9061773025528,"tree_tip_scatter5",127
FALSE,0,"tree_uni_scatter10",127
TRUE,79.8642206592789,"tree_tip_scatter10",127
FALSE,0,"tree_uni_scatter15",127
TRUE,80.1636295444918,"tree_tip_scatter15",127
TRUE,13.395072389397,"tree_uni",163
TRUE,56.7545215125861,"tree_tip",163
FALSE,0,"tree_uni_scatter5",163
TRUE,56.6230897682889,"tree_tip_scatter5",163
FALSE,0,"tree_uni_scatter10",163
TRUE,60.4141387373657,"tree_tip_scatter10",163
FALSE,0,"tree_uni_scatter15",163
TRUE,60.4743377859477,"tree_tip_scatter15",163
FALSE,0,"tree_uni",164
TRUE,74.5383397876379,"tree_tip",164
FALSE,0,"tree_uni_scatter5",164
TRUE,74.4791614088542,"tree_tip_scatter5",164
FALSE,0,"tree_uni_scatter10",164
TRUE,79.5981646167656,"tree_tip_scatter10",164
FALSE,0,"tree_uni_scatter15",164
TRUE,77.7415980761855,"tree_tip_scatter15",164
TRUE,7.28717939092547,"tree_uni",128
TRUE,73.5409444096466,"tree_tip",128
FALSE,0,"tree_uni_scatter5",128
TRUE,73.9167501761249,"tree_tip_scatter5",128
FALSE,0,"tree_uni_scatter10",128
TRUE,78.0843297629083,"tree_tip_scatter10",128
FALSE,0,"tree_uni_scatter15",128
TRUE,79.0078870201873,"tree_tip_scatter15",128
