"bimod","bistab","tree_type","cell"
TRUE,4.49526866525465,"tree_uni",127
TRUE,55.5346922368389,"tree_tip",127
FALSE,0,"tree_uni_scatter5",127
TRUE,54.6321263573574,"tree_tip_scatter5",127
FALSE,0,"tree_uni_scatter10",127
TRUE,56.2768136172123,"tree_tip_scatter10",127
FALSE,0,"tree_uni_scatter15",127
TRUE,54.6396513202642,"tree_tip_scatter15",127
TRUE,12.1580823458976,"tree_uni",163
TRUE,55.5363492951929,"tree_tip",163
FALSE,0,"tree_uni_scatter5",163
TRUE,55.4234637342469,"tree_tip_scatter5",163
FALSE,0,"tree_uni_scatter10",163
TRUE,57.5421749493002,"tree_tip_scatter10",163
TRUE,64.7730565476389,"tree_uni_scatter15",163
TRUE,56.3539928546062,"tree_tip_scatter15",163
TRUE,7.58037224018659,"tree_uni",164
TRUE,55.5351089243931,"tree_tip",164
FALSE,0,"tree_uni_scatter5",164
TRUE,54.7104710327529,"tree_tip_scatter5",164
FALSE,0,"tree_uni_scatter10",164
TRUE,58.0604670223625,"tree_tip_scatter10",164
FALSE,0,"tree_uni_scatter15",164
TRUE,52.858991346721,"tree_tip_scatter15",164
TRUE,3.88882375684508,"tree_uni",128
TRUE,55.534607656927,"tree_tip",128
FALSE,0,"tree_uni_scatter5",128
TRUE,54.9418667478133,"tree_tip_scatter5",128
FALSE,0,"tree_uni_scatter10",128
TRUE,54.569677578234,"tree_tip_scatter10",128
FALSE,0,"tree_uni_scatter15",128
TRUE,51.4129812522509,"tree_tip_scatter15",128
