"bimod","bistab","tree_type","cell"
TRUE,4.10759033279859,"tree_uni",127
TRUE,55.5364086770507,"tree_tip",127
FALSE,0,"tree_uni_scatter5",127
TRUE,54.3003469014426,"tree_tip_scatter5",127
FALSE,0,"tree_uni_scatter10",127
TRUE,58.968991960798,"tree_tip_scatter10",127
FALSE,0,"tree_uni_scatter15",127
TRUE,58.9076013007126,"tree_tip_scatter15",127
TRUE,12.3251828207643,"tree_uni",163
TRUE,55.5333354317101,"tree_tip",163
FALSE,0,"tree_uni_scatter5",163
TRUE,56.0655534049077,"tree_tip_scatter5",163
FALSE,0,"tree_uni_scatter10",163
TRUE,54.1346850689597,"tree_tip_scatter10",163
TRUE,27.5408697855168,"tree_uni_scatter15",163
TRUE,57.0072862022829,"tree_tip_scatter15",163
TRUE,8.13777577702631,"tree_uni",164
TRUE,55.5358359215372,"tree_tip",164
FALSE,0,"tree_uni_scatter5",164
TRUE,55.7778499098589,"tree_tip_scatter5",164
FALSE,0,"tree_uni_scatter10",164
TRUE,55.8320082568066,"tree_tip_scatter10",164
FALSE,0,"tree_uni_scatter15",164
TRUE,51.5071037899721,"tree_tip_scatter15",164
TRUE,4.2990218009943,"tree_uni",128
TRUE,55.5350656948253,"tree_tip",128
FALSE,0,"tree_uni_scatter5",128
TRUE,54.0360623886486,"tree_tip_scatter5",128
FALSE,0,"tree_uni_scatter10",128
TRUE,60.7503366009609,"tree_tip_scatter10",128
FALSE,0,"tree_uni_scatter15",128
TRUE,59.5673622207951,"tree_tip_scatter15",128
