"TJJA_start","TJJA_stop","tree","type","samples"
1.5,2.5,2.10375334354738,"max",16
1.75,2.75,4.26644370601857,"max",17
2,3,4.11424465485363,"max",18
2.25,3.25,1.5022868727012,"max",20
2.5,3.5,1.54003655670707,"max",24
2.75,3.75,1.78185364838812,"max",32
3,4,1.98833428082732,"max",36
3.25,4.25,5.98562578888414,"max",34
3.5,4.5,6.24414189620133,"max",45
3.75,4.75,4.41315235735692,"max",56
4,5,3.98682449772241,"max",56
4,5,22.0525909754687,"max",56
4.25,5.25,18.9318388207403,"min",68
4.25,5.25,4.00504300792739,"max",68
4.25,5.25,21.1890616021901,"max",68
4.5,5.5,18.3618324951226,"min",91
4.5,5.5,4.6821556009775,"max",91
4.5,5.5,21.3857610717231,"max",91
4.75,5.75,4.88765129688615,"max",94
5,6,5.87995777380342,"max",106
5.25,6.25,7.87572382115296,"max",145
5.5,6.5,9.05738535548694,"max",145
5.75,6.75,8.33697862375606,"max",162
6,7,70.3256640094158,"min",190
6,7,7.01292976417709,"max",190
6,7,73.0664750157032,"max",190
6.25,7.25,6.6485986155261,"max",210
6.5,7.5,5.77010623447121,"max",247
6.75,7.75,5.28002397934619,"max",278
7,8,5.84001426360599,"max",297
7.25,8.25,5.22923164401567,"max",308
7.5,8.5,5.8363892036319,"max",339
7.5,8.5,84.6097237950112,"max",339
7.75,8.75,74.2800076122677,"min",425
7.75,8.75,7.226428162882,"max",425
7.75,8.75,79.1514215038897,"max",425
8,9,6.78577476282967,"max",535
8.25,9.25,7.74100837324983,"max",684
8.5,9.5,56.1254454448048,"min",807
8.5,9.5,8.64317072133285,"max",807
8.5,9.5,71.0163363344143,"max",807
8.75,9.75,47.5912438891494,"min",906
8.75,9.75,9.33452918740382,"max",906
8.75,9.75,64.0274620573067,"max",906
9,10,48.1673414126511,"min",985
9,10,11.2322221906968,"max",985
9,10,66.7758747611167,"max",985
9.25,10.25,48.1867107091671,"min",1052
9.25,10.25,14.9895683077641,"max",1052
9.25,10.25,64.9247657014711,"max",1052
9.5,10.5,46.8241135912356,"min",1184
9.5,10.5,16.9983977524048,"max",1184
9.5,10.5,61.4608074751063,"max",1184
9.75,10.75,46.4961579686275,"min",1369
9.75,10.75,17.2912799375969,"max",1369
9.75,10.75,59.8703544501276,"max",1369
10,11,46.0811480350265,"min",1566
10,11,16.2682801722798,"max",1566
10,11,57.7352691086457,"max",1566
