"TJJA_start","TJJA_stop","tree","type","samples"
1,2,0.57551745738624,"max",23
1.25,2.25,0.462460392633218,"max",91
1.5,2.5,0.540836443228487,"max",115
1.75,2.75,0.965018197794571,"max",120
2,3,1.20814286261608,"max",131
2.25,3.25,44.8543020988141,"min",141
2.25,3.25,5.81418956498267,"max",141
2.25,3.25,71.4419649451303,"max",141
2.5,3.5,44.3274386686435,"min",181
2.5,3.5,11.0970751324797,"max",181
2.5,3.5,70.4600546533937,"max",181
2.75,3.75,43.5857372920758,"min",217
2.75,3.75,12.1837913074524,"max",217
2.75,3.75,69.0213135396208,"max",217
3,4,44.9357038762541,"min",283
3,4,11.011825995868,"max",283
3,4,68.9526085703328,"max",283
3.25,4.25,43.5041911732534,"min",292
3.25,4.25,10.2342053817129,"max",292
3.25,4.25,67.182829709575,"max",292
3.5,4.5,41.0414667149923,"min",287
3.5,4.5,9.58242579410717,"max",287
3.5,4.5,62.5183119590581,"max",287
3.75,4.75,39.5363649530936,"min",331
3.75,4.75,9.93968782750291,"max",331
3.75,4.75,60.4098109258786,"max",331
4,5,37.8472119303584,"min",332
4,5,9.53348792302294,"max",332
4,5,61.4419819364713,"max",332
4.25,5.25,36.145333516201,"min",329
4.25,5.25,7.59545439470925,"max",329
4.25,5.25,62.7918873629267,"max",329
4.5,5.5,37.0939110746826,"min",394
4.5,5.5,74.2755623762395,"min",394
4.5,5.5,6.37863391252689,"max",394
4.5,5.5,60.0495392695569,"max",394
4.5,5.5,81.3885739295809,"max",394
4.75,5.75,41.2553636640941,"min",429
4.75,5.75,72.1200976984738,"min",429
4.75,5.75,5.84214250885834,"max",429
4.75,5.75,54.251041152254,"max",429
4.75,5.75,91.2887219935097,"max",429
5,6,71.5238192746957,"min",411
5,6,5.67511644012399,"max",411
5,6,94.3557815640699,"max",411
5.25,6.25,72.485603000916,"min",364
5.25,6.25,5.75249193154876,"max",364
5.25,6.25,94.9535348684919,"max",364
5.5,6.5,42.9355405656745,"min",301
5.5,6.5,70.4525259082575,"min",301
5.5,6.5,6.58594264399076,"max",301
5.5,6.5,46.6724151183709,"max",301
5.5,6.5,93.2134890928632,"max",301
5.75,6.75,38.3387217175779,"min",330
5.75,6.75,8.64872036181686,"max",330
5.75,6.75,87.49216840656,"max",330
6,7,84.5456129644138,"max",553
6.25,7.25,45.1348147351889,"min",834
6.25,7.25,37.4480284503689,"max",834
6.25,7.25,61.8810277128326,"max",834
6.5,7.5,47.9634740560212,"min",1096
6.5,7.5,33.8435608444349,"max",1096
6.5,7.5,62.354924060138,"max",1096
6.75,7.75,50.1332702357111,"min",1297
6.75,7.75,32.8081395932671,"max",1297
6.75,7.75,61.5945105068664,"max",1297
7,8,35.6211199971679,"max",1439
7.25,8.25,90.1554386670553,"min",1541
7.25,8.25,24.5455354890192,"max",1541
7.25,8.25,93.1500815507001,"max",1541
7.5,8.5,22.3263838563292,"max",1664
7.75,8.75,12.2693660073131,"max",1688
8,9,54.0828816557385,"min",1580
8,9,9.59355051045004,"max",1580
8,9,81.9591081328496,"max",1580
8.25,9.25,51.8613283681781,"min",1488
8.25,9.25,9.48031321581553,"max",1488
8.25,9.25,82.5016568904943,"max",1488
8.5,9.5,51.8621028949903,"min",1463
8.5,9.5,9.46345236290301,"max",1463
8.5,9.5,82.2287039517555,"max",1463
8.75,9.75,22.5234733873119,"min",1494
8.75,9.75,56.1217131831378,"min",1494
8.75,9.75,9.42585448385429,"max",1494
8.75,9.75,35.9058231364967,"max",1494
8.75,9.75,84.0253360644169,"max",1494
9,10,20.7127196636038,"min",1686
9,10,54.1030489360168,"min",1686
9,10,9.11099508590102,"max",1686
9,10,34.5781953784194,"max",1686
9,10,86.3615026398735,"max",1686
9.25,10.25,25.5989675702506,"min",1929
9.25,10.25,53.8602767375909,"min",1929
9.25,10.25,9.20740825319314,"max",1929
9.25,10.25,28.4250984869846,"max",1929
9.25,10.25,86.3607822800324,"max",1929
9.5,10.5,53.8266509281871,"min",2201
9.5,10.5,9.56732895384908,"max",2201
9.5,10.5,86.3208366814986,"max",2201
9.75,10.75,52.6823464613666,"min",2820
9.75,10.75,10.4848030795005,"max",2820
9.75,10.75,88.4947352525556,"max",2820
10,11,51.8772807548307,"min",3197
10,11,12.1031861614366,"max",3197
10,11,89.7312466437161,"max",3197
10.25,11.25,50.7524069730037,"min",3311
10.25,11.25,14.1753932200052,"max",3311
10.25,11.25,90.60497419642,"max",3311
10.5,11.5,49.8648042581102,"min",3488
10.5,11.5,19.8513495585838,"max",3488
10.5,11.5,91.2347012763764,"max",3488
10.75,11.75,31.621880224414,"min",3541
10.75,11.75,52.5487903338404,"min",3541
10.75,11.75,21.695012608404,"max",3541
10.75,11.75,39.1341043662594,"max",3541
10.75,11.75,90.9147922011222,"max",3541
11,12,29.720824513438,"min",4024
11,12,57.2898996847118,"min",4024
11,12,22.5634684593573,"max",4024
11,12,41.1195767477147,"max",4024
11,12,90.1607200812306,"max",4024
11.25,12.25,30.4295456438237,"min",4473
11.25,12.25,59.8508998437129,"min",4473
11.25,12.25,20.9726817938593,"max",4473
11.25,12.25,40.4117908187861,"max",4473
11.25,12.25,89.0095633811032,"max",4473
11.5,12.5,60.1998772283765,"min",5922
11.5,12.5,18.367469355035,"max",5922
11.5,12.5,87.3134749240608,"max",5922
