"TJJA_start","TJJA_stop","tree","type","samples"
1.25,2.25,3.62230319427162,"max",41
1.5,2.5,2.6612461633535,"max",105
1.75,2.75,14.8235384984405,"min",118
1.75,2.75,2.57722592356011,"max",118
1.75,2.75,17.2425632045897,"max",118
2,3,3.12757481026945,"max",131
2.25,3.25,39.5198026709364,"min",135
2.25,3.25,5.34477934404199,"max",135
2.25,3.25,65.1510701661072,"max",135
2.5,3.5,33.0007704058964,"min",137
2.5,3.5,12.8232207123812,"max",137
2.5,3.5,64.9234609657861,"max",137
2.75,3.75,31.6260292079003,"min",190
2.75,3.75,12.7630211575381,"max",190
2.75,3.75,62.8678862913128,"max",190
3,4,30.9487071884254,"min",240
3,4,10.7022751929542,"max",240
3,4,59.4110826023486,"max",240
3.25,4.25,31.9846682747448,"min",296
3.25,4.25,8.7471538767043,"max",296
3.25,4.25,57.2812029359027,"max",296
3.5,4.5,31.1317992492053,"min",302
3.5,4.5,8.06712061184334,"max",302
3.5,4.5,51.7686169773712,"max",302
3.75,4.75,35.6422695551584,"min",372
3.75,4.75,10.0267944474944,"max",372
3.75,4.75,51.1306963644436,"max",372
4,5,44.6338372981778,"min",460
4,5,20.1933047905268,"max",460
4,5,51.700979228101,"max",460
4.25,5.25,81.8333665365858,"min",487
4.25,5.25,23.6576449978279,"max",487
4.25,5.25,85.0653510665168,"max",487
4.5,5.5,81.1760511599665,"min",554
4.5,5.5,26.2762727704485,"max",554
4.5,5.5,86.6950765007117,"max",554
4.75,5.75,74.6074591112427,"min",558
4.75,5.75,28.5207043101505,"max",558
4.75,5.75,92.220231646692,"max",558
5,6,72.2900362970043,"min",485
5,6,31.9463714833961,"max",485
5,6,93.6312502926087,"max",485
5.25,6.25,77.8343346294598,"min",409
5.25,6.25,34.0707499910011,"max",409
5.25,6.25,94.4644967920741,"max",409
5.5,6.5,76.6332262074033,"min",315
5.5,6.5,32.2039039512268,"max",315
5.5,6.5,94.2260450873658,"max",315
5.75,6.75,37.07146801113,"max",264
6,7,34.8415164208132,"min",360
6,7,22.3953022430455,"max",360
6,7,77.6796489396414,"max",360
6.25,7.25,40.1871213224067,"min",633
6.25,7.25,22.9505558191398,"max",633
6.25,7.25,78.1614296967914,"max",633
6.5,7.5,39.730125867448,"min",952
6.5,7.5,24.3780149565242,"max",952
6.5,7.5,80.0619426673327,"max",952
6.75,7.75,40.1471443199045,"min",1214
6.75,7.75,27.4643494505002,"max",1214
6.75,7.75,84.1486775402865,"max",1214
7,8,40.1122503168221,"min",1507
7,8,27.8362478635045,"max",1507
7,8,84.2536208404534,"max",1507
7.25,8.25,32.9716749429697,"min",1651
7.25,8.25,31.3966675823448,"max",1651
7.25,8.25,84.4219153900502,"max",1651
7.5,8.5,84.4421146702148,"max",1813
7.75,8.75,76.2677798090977,"min",1890
7.75,8.75,68.9970831831613,"max",1890
7.75,8.75,84.5771473815964,"max",1890
8,9,77.2496289003282,"min",1838
8,9,68.6842117531494,"max",1838
8,9,85.295929856769,"max",1838
