"TJJA_start","TJJA_stop","tree","type","samples"
-0.5,0.5,0.0731717968428631,"max",60
-0.25,0.75,0.0876777468924685,"max",91
0,1,0.0730650363169953,"max",113
0.25,1.25,0.0987896079566273,"max",170
0.5,1.5,0.0981249953171828,"max",234
0.75,1.75,0.096754541310947,"max",319
1,2,0.0376001383874756,"max",465
1.25,2.25,0.0526381010861872,"max",625
1.5,2.5,-0.0084625586121585,"max",830
1.75,2.75,0.0134458439995626,"max",1147
2,3,0.00835776260989385,"max",1459
2.25,3.25,0.0511887805424012,"max",1911
2.5,3.5,0.0166380403641815,"max",2374
2.75,3.75,0.0182972642103463,"max",2754
3,4,0.0579245586566401,"max",3330
3.25,4.25,-0.0129148201069025,"max",3935
3.5,4.5,-0.00224933777367475,"max",4734
3.75,4.75,0.0496838514714382,"max",5752
4,5,-0.00297462321625486,"max",6563
4.25,5.25,0.0781935318418676,"max",7643
4.5,5.5,0.0152946289558749,"max",8573
4.75,5.75,0.106967056102952,"max",9755
5,6,0.0675915598519339,"max",10753
5.25,6.25,0.0449144763367275,"max",11623
5.5,6.5,0.142126657106418,"max",12390
5.75,6.75,0.110193605515991,"max",12734
6,7,0.0496976719463542,"max",13501
6.25,7.25,0.159514981633068,"max",14377
6.5,7.5,0.144871464633532,"max",15527
6.75,7.75,0.119704885383944,"max",16963
7,8,0.212455322692214,"max",18315
7.25,8.25,0.237865189594761,"max",20003
7.5,8.5,0.277848673705759,"max",21762
7.75,8.75,0.432040816300327,"max",23827
8,9,0.464224086034684,"max",26261
8.25,9.25,0.453090681662925,"max",28743
8.5,9.5,0.586206578335567,"max",31378
8.75,9.75,0.85029935299699,"max",34408
9,10,0.974914941624862,"max",36988
9.25,10.25,1.09141345130501,"max",39880
9.5,10.5,1.22680267350094,"max",42048
9.75,10.75,1.45068813511375,"max",43778
10,11,1.67445224715134,"max",45395
10.25,11.25,1.95306704893599,"max",46728
10.5,11.5,2.44671475997825,"max",48144
10.75,11.75,2.67965230735817,"max",49858
11,12,3.09321591957189,"max",51421
11.25,12.25,3.54965537465278,"max",52933
11.5,12.5,4.19404105822803,"max",54170
11.75,12.75,5.02816820857506,"max",55006
12,13,6.10284991550756,"max",55379
12.25,13.25,7.17554251145519,"max",55094
12.5,13.5,12.3778178947876,"max",55325
12.75,13.75,16.6603131729237,"max",55769
13,14,17.6099081529528,"max",56615
13.25,14.25,18.3221931151995,"max",58132
13.5,14.5,19.9452358560596,"max",59477
13.75,14.75,54.1185799251686,"min",60564
13.75,14.75,21.4842938274705,"max",60564
13.75,14.75,55.2636425952633,"max",60564
14,15,51.8222482878807,"min",61718
14,15,22.2601417903757,"max",61718
14,15,59.0697324614626,"max",61718
14.25,15.25,50.0844486050798,"min",62945
14.25,15.25,22.9604513662437,"max",62945
14.25,15.25,59.9119838365421,"max",62945
14.5,15.5,29.2426053342927,"min",63578
14.5,15.5,46.5481326526685,"min",63578
14.5,15.5,23.1463400289558,"max",63578
14.5,15.5,32.7823722857787,"max",63578
14.5,15.5,59.5272781414503,"max",63578
14.75,15.75,29.2379714668957,"min",64739
14.75,15.75,43.0082059126516,"min",64739
14.75,15.75,24.123312958472,"max",64739
14.75,15.75,33.5657594355618,"max",64739
14.75,15.75,59.7292048824981,"max",64739
15,16,28.8340279994508,"min",65218
15,16,42.0235598657165,"min",65218
15,16,23.7157022006015,"max",65218
15,16,39.8581143354341,"max",65218
15,16,60.1345588462604,"max",65218
15.25,16.25,29.2906892735359,"min",65036
15.25,16.25,23.9905233767763,"max",65036
