"TJJA_start","TJJA_stop","tree","type","samples"
3.75,4.75,20.1244293070459,"min",17
3.75,4.75,7.16908104354071,"max",17
3.75,4.75,21.3582719988083,"max",17
4,5,18.9883169271255,"min",20
4,5,7.68910221759097,"max",20
4,5,21.8518165452952,"max",20
4.25,5.25,7.80136091432819,"max",31
4.5,5.5,9.4612695322819,"max",57
4.5,5.5,50.1618688950804,"max",57
4.75,5.75,42.571708475492,"min",63
4.75,5.75,10.8901624192148,"max",63
4.75,5.75,48.0169742039146,"max",63
5,6,11.4100109392112,"max",76
5.25,6.25,13.1731775372334,"max",111
5.5,6.5,15.5205954109056,"max",112
5.75,6.75,17.6679175730664,"max",114
6,7,18.449421330788,"max",125
6.25,7.25,74.8773197009492,"min",129
6.25,7.25,20.7848932212782,"max",129
6.25,7.25,91.3537484562513,"max",129
6.5,7.5,70.6876137976592,"min",147
6.5,7.5,19.6758090379716,"max",147
6.5,7.5,88.3213240849586,"max",147
6.75,7.75,72.6594610289393,"min",159
6.75,7.75,18.3180676350938,"max",159
6.75,7.75,85.2470154309035,"max",159
7,8,75.2157925016612,"min",166
7,8,17.7295651826637,"max",166
7,8,83.643092841619,"max",166
7.25,8.25,75.5311433372701,"min",157
7.25,8.25,16.3116992573191,"max",157
7.25,8.25,81.0829662197655,"max",157
7.5,8.5,76.6009209190397,"min",162
7.5,8.5,15.9064455723687,"max",162
7.5,8.5,83.4837995666004,"max",162
7.75,8.75,72.4701024682366,"min",198
7.75,8.75,15.2030048512036,"max",198
7.75,8.75,85.7586002578244,"max",198
8,9,67.5032403303502,"min",233
8,9,14.0551020276194,"max",233
8,9,83.7285680293934,"max",233
8.25,9.25,35.4885043790973,"min",277
8.25,9.25,66.3695116940523,"min",277
8.25,9.25,13.8717992586288,"max",277
8.25,9.25,39.5030353300414,"max",277
8.25,9.25,81.5012052783802,"max",277
8.5,9.5,35.4357958452066,"min",289
8.5,9.5,66.1840816547934,"min",289
8.5,9.5,14.7339796565739,"max",289
8.5,9.5,47.0044578329719,"max",289
8.5,9.5,78.9704975360077,"max",289
8.75,9.75,37.4514028114464,"min",279
8.75,9.75,66.5700092393048,"min",279
8.75,9.75,16.4379754923734,"max",279
