"TJJA_start","TJJA_stop","tree","type","samples"
10.75,11.75,27.7905680582834,"min",172
10.75,11.75,11.7694796366923,"max",172
10.75,11.75,60.6759600815492,"max",172
11,12,21.3796996706359,"min",577
11,12,10.3733430876353,"max",577
11,12,64.8548081734884,"max",577
11.25,12.25,24.7284505766004,"min",966
11.25,12.25,11.9062033821894,"max",966
11.25,12.25,76.8358806645259,"max",966
11.5,12.5,46.2128257780217,"min",2094
11.5,12.5,13.0775719422782,"max",2094
11.5,12.5,83.3563764487342,"max",2094
11.75,12.75,49.3657940931808,"min",3004
11.75,12.75,13.3141537294508,"max",3004
11.75,12.75,84.6162868932723,"max",3004
12,13,50.530694031734,"min",3260
12,13,14.4778555680983,"max",3260
12,13,86.316474432676,"max",3260
12.25,13.25,47.3281231491914,"min",3310
12.25,13.25,15.0411744309973,"max",3310
12.25,13.25,87.0864319013477,"max",3310
12.5,13.5,87.7974984378921,"max",2557
12.75,13.75,68.7339048276419,"min",1911
12.75,13.75,58.2484014502564,"max",1911
12.75,13.75,87.8699484913703,"max",1911
13,14,68.7757231811541,"min",1893
13,14,57.0316183468613,"max",1893
13,14,86.0004102714502,"max",1893
13.25,14.25,82.9848328046483,"max",3598
13.5,14.5,83.8459004857927,"max",5049
13.75,14.75,84.7705037452545,"max",5649
14,15,24.2332343588102,"min",5518
14,15,20.2420569103685,"max",5518
14,15,85.0986904475455,"max",5518
14.25,15.25,27.2335655171711,"min",3744
14.25,15.25,17.5524173674684,"max",3744
14.25,15.25,85.5752214719584,"max",3744
14.5,15.5,26.1542462770576,"min",2344
14.5,15.5,18.0695538838173,"max",2344
14.5,15.5,85.6158548466963,"max",2344
14.75,15.75,26.6372980659241,"min",1485
14.75,15.75,21.6384598040464,"max",1485
14.75,15.75,84.5185832034553,"max",1485
15,16,82.1050301042262,"max",1075
15.25,16.25,76.9012415580255,"max",841
15.5,16.5,71.5433889053767,"max",436
15.75,16.75,75.1898495142636,"max",259
16,17,79.0504529714069,"max",157
16.25,17.25,73.0053175500159,"min",21
16.25,17.25,52.0406479258935,"max",21
16.25,17.25,90.5786435584714,"max",21
