"TJJA_start","TJJA_stop","tree","type","samples"
10.75,11.75,29.7773087204019,"min",123
10.75,11.75,13.0434208844278,"max",123
10.75,11.75,58.3403241645645,"max",123
11,12,31.0093824444416,"min",520
11,12,11.4532558201807,"max",520
11,12,64.2547977056851,"max",520
11.25,12.25,35.9903710244686,"min",1093
11.25,12.25,11.0986902920282,"max",1093
11.25,12.25,71.5499149279548,"max",1093
11.5,12.5,45.9436680512241,"min",2040
11.5,12.5,11.9853532745248,"max",2040
11.5,12.5,81.2389243545651,"max",2040
11.75,12.75,50.7402245688438,"min",2803
11.75,12.75,13.0650968284031,"max",2803
11.75,12.75,83.87296102143,"max",2803
12,13,53.7456046097511,"min",3097
12,13,14.1167598688436,"max",3097
12,13,86.1448628100875,"max",3097
12.25,13.25,58.0295890149224,"min",2965
12.25,13.25,16.795255193675,"max",2965
12.25,13.25,87.2149291871039,"max",2965
12.5,13.5,65.1115204914556,"min",2444
12.5,13.5,54.7690788733379,"max",2444
12.5,13.5,88.1831210241798,"max",2444
12.75,13.75,68.7237387224007,"min",2008
12.75,13.75,58.4329658302585,"max",2008
12.75,13.75,88.5334765397746,"max",2008
13,14,69.9887093286963,"min",1628
13,14,58.8112132615859,"max",1628
13,14,87.1448660828656,"max",1628
13.25,14.25,67.9108023426287,"min",2000
13.25,14.25,61.1755637439865,"max",2000
13.25,14.25,83.9717559240061,"max",2000
13.5,14.5,82.1430805597049,"max",3723
13.75,14.75,83.9971554648513,"max",4713
14,15,84.2793424948028,"max",5136
14.25,15.25,25.5560642155584,"min",5004
14.25,15.25,17.2671718161895,"max",5004
14.25,15.25,85.336560914037,"max",5004
14.5,15.5,26.7615749580939,"min",3169
14.5,15.5,16.9921434597792,"max",3169
14.5,15.5,86.1494348557442,"max",3169
14.75,15.75,27.0919913313751,"min",2183
14.75,15.75,17.1374496417868,"max",2183
14.75,15.75,85.7713949752643,"max",2183
15,16,27.2851678965162,"min",1620
15,16,19.5799005490469,"max",1620
15,16,86.2703179357637,"max",1620
15.25,16.25,45.5085601909429,"min",1122
15.25,16.25,42.5794406842927,"max",1122
15.25,16.25,84.3859645519358,"max",1122
15.5,16.5,45.4074001669798,"min",936
15.5,16.5,43.7946271448411,"max",936
15.5,16.5,80.6196111503419,"max",936
15.75,16.75,72.807876141232,"max",633
16,17,72.9357849724674,"max",479
16.25,17.25,72.6667226607295,"max",296
16.5,17.5,75.0189789506048,"max",156
16.75,17.75,71.2819884658613,"min",17
16.75,17.75,49.7812311843335,"max",17
16.75,17.75,87.9691433709277,"max",17
