"TJJA_start","TJJA_stop","tree","type","samples"
7,8,47.8188241800562,"min",22
7,8,14.1532253233429,"max",22
7,8,61.5440298677931,"max",22
7.25,8.25,41.992890332262,"min",97
7.25,8.25,10.7358544816408,"max",97
7.25,8.25,60.5590995969167,"max",97
7.5,8.5,40.9864631832305,"min",173
7.5,8.5,10.846063497926,"max",173
7.5,8.5,60.9323159161527,"max",173
7.75,8.75,41.5321296462242,"min",229
7.75,8.75,10.3599208599993,"max",229
7.75,8.75,60.7660457058097,"max",229
8,9,41.2886559627278,"min",255
8,9,9.98972335193873,"max",255
8,9,60.3401801605995,"max",255
8.25,9.25,42.7611759239777,"min",272
8.25,9.25,10.4780806345677,"max",272
8.25,9.25,60.8768696835028,"max",272
8.5,9.5,40.5110016935877,"min",242
8.5,9.5,10.4858837622172,"max",242
8.5,9.5,61.3348738072801,"max",242
8.75,9.75,38.5948769822613,"min",213
8.75,9.75,10.6231883702933,"max",213
8.75,9.75,60.92315473392,"max",213
9,10,34.9357651959646,"min",245
9,10,11.3792033146199,"max",245
9,10,61.4065409183005,"max",245
9.25,10.25,33.0176377204728,"min",270
9.25,10.25,10.8129510709878,"max",270
9.25,10.25,60.5321407426607,"max",270
9.5,10.5,34.9619885793756,"min",314
9.5,10.5,10.9009381280302,"max",314
9.5,10.5,61.6964890808704,"max",314
9.75,10.75,44.418904961665,"min",507
9.75,10.75,10.8263832722456,"max",507
9.75,10.75,63.3746850578373,"max",507
10,11,46.1883468139797,"min",723
10,11,10.2824849705096,"max",723
10,11,64.7279748246604,"max",723
10.25,11.25,46.8436373004056,"min",807
10.25,11.25,10.0088851269427,"max",807
10.25,11.25,65.027882044267,"max",807
10.5,11.5,48.7935807630202,"min",1003
10.5,11.5,9.31146389117761,"max",1003
10.5,11.5,65.147120295736,"max",1003
10.75,11.75,33.4091508274857,"min",1074
10.75,11.75,49.2182571793209,"min",1074
10.75,11.75,8.9980307253873,"max",1074
10.75,11.75,39.2213222803663,"max",1074
10.75,11.75,65.027363531156,"max",1074
11,12,34.8300255095694,"min",1050
11,12,48.9471048530905,"min",1050
11,12,8.67871459452201,"max",1050
11,12,38.9957210535592,"max",1050
11,12,64.2213218477199,"max",1050
11.25,12.25,34.3905300988565,"min",1085
11.25,12.25,49.145476275203,"min",1085
11.25,12.25,8.7999203242556,"max",1085
11.25,12.25,42.459641289046,"max",1085
11.25,12.25,63.4393303835387,"max",1085
11.5,12.5,36.4235545604223,"min",1037
11.5,12.5,8.86679029363536,"max",1037
11.5,12.5,61.9639702223225,"max",1037
11.75,12.75,36.6876612063903,"min",954
11.75,12.75,8.96156088922876,"max",954
11.75,12.75,59.3306431320722,"max",954
12,13,39.6902824433704,"min",985
12,13,9.15236316476858,"max",985
12,13,60.2802431690944,"max",985
12.25,13.25,40.8468729699319,"min",937
12.25,13.25,8.93455973619821,"max",937
12.25,13.25,60.0405106394963,"max",937
12.5,13.5,41.0776574024322,"min",971
12.5,13.5,9.19096878817342,"max",971
12.5,13.5,61.1801350070736,"max",971
12.75,13.75,44.5440666105665,"min",912
12.75,13.75,8.95628043758144,"max",912
12.75,13.75,61.8757806558514,"max",912
13,14,44.5550375431228,"min",814
13,14,9.10242359467757,"max",814
13,14,61.4703370087209,"max",814
13.25,14.25,44.2223644531326,"min",811
13.25,14.25,9.21495838690972,"max",811
13.25,14.25,62.1748803845289,"max",811
13.5,14.5,45.140140780169,"min",767
13.5,14.5,8.96912963880985,"max",767
13.5,14.5,62.1092571180906,"max",767
13.75,14.75,41.1215702802294,"min",800
13.75,14.75,9.40967767048438,"max",800
13.75,14.75,61.4439803329533,"max",800
14,15,42.6628414801775,"min",761
14,15,9.36010963875764,"max",761
14,15,61.7894104431551,"max",761
14.25,15.25,42.4892130965795,"min",796
14.25,15.25,8.94774526494441,"max",796
14.25,15.25,60.7231654077368,"max",796
14.5,15.5,45.018078099362,"min",787
14.5,15.5,9.33684593004137,"max",787
14.5,15.5,61.4685163072956,"max",787
14.75,15.75,47.4762864120318,"min",966
14.75,15.75,9.50698987441623,"max",966
14.75,15.75,63.4874355543998,"max",966
15,16,46.0648889778504,"min",1267
15,16,9.72275687760275,"max",1267
15,16,64.4630933536008,"max",1267
15.25,16.25,48.0455345740026,"min",1882
15.25,16.25,9.71912670862751,"max",1882
15.25,16.25,65.3836714654819,"max",1882
15.5,16.5,47.9272277417673,"min",2682
15.5,16.5,9.67983363451418,"max",2682
15.5,16.5,65.1497385386006,"max",2682
15.75,16.75,48.2259697202457,"min",4007
15.75,16.75,9.55942093135126,"max",4007
15.75,16.75,65.2654657967077,"max",4007
16,17,49.1906584352016,"min",5528
16,17,9.48105215125232,"max",5528
16,17,64.8598544283276,"max",5528
16.25,17.25,48.3387124808941,"min",6952
16.25,17.25,9.20023489793104,"max",6952
16.25,17.25,64.7516224350398,"max",6952
16.5,17.5,47.589839253991,"min",8545
16.5,17.5,8.93225798699697,"max",8545
16.5,17.5,64.7934748963705,"max",8545
16.75,17.75,47.147960965506,"min",9695
16.75,17.75,8.89126847406533,"max",9695
16.75,17.75,64.8668501194364,"max",9695
17,18,44.0507948997906,"min",10428
17,18,8.74574846758707,"max",10428
17,18,65.1526617328318,"max",10428
17.25,18.25,43.0324974675982,"min",10881
17.25,18.25,8.59053190826275,"max",10881
17.25,18.25,65.3184751824623,"max",10881
17.5,18.5,43.237941848649,"min",10640
17.5,18.5,8.55734509909457,"max",10640
17.5,18.5,65.3442871451487,"max",10640
17.75,18.75,43.2458499239119,"min",10020
17.75,18.75,8.4650842210275,"max",10020
17.75,18.75,65.2126493152073,"max",10020
18,19,43.5373234745908,"min",9034
18,19,8.56835426863584,"max",9034
18,19,64.5591315521591,"max",9034
18.25,19.25,43.7531037401841,"min",8022
18.25,19.25,8.45364153520959,"max",8022
18.25,19.25,64.0401509844223,"max",8022
18.5,19.5,42.4317056580835,"min",7023
18.5,19.5,8.26217074662732,"max",7023
18.5,19.5,63.256925160332,"max",7023
18.75,19.75,42.2456036981545,"min",6094
18.75,19.75,8.28146906172426,"max",6094
18.75,19.75,63.1935430248151,"max",6094
19,20,43.7642190814645,"min",5282
19,20,7.88052642532743,"max",5282
19,20,63.0238281341935,"max",5282
19.25,20.25,42.085596990026,"min",4446
19.25,20.25,7.54202120327807,"max",4446
19.25,20.25,62.7703729102344,"max",4446
19.5,20.5,44.4228593607093,"min",3581
19.5,20.5,7.76326837670383,"max",3581
19.5,20.5,63.4858466723921,"max",3581
19.75,20.75,45.3454948929588,"min",2779
19.75,20.75,7.7217641273696,"max",2779
19.75,20.75,63.2008247478147,"max",2779
20,21,42.643367809136,"min",2039
20,21,8.17471390205814,"max",2039
20,21,63.237846558648,"max",2039
20.25,21.25,43.2711605510949,"min",1423
20.25,21.25,8.66380839350567,"max",1423
20.25,21.25,63.4222769972861,"max",1423
20.5,21.5,40.4490506977171,"min",1072
20.5,21.5,9.01579710108449,"max",1072
20.5,21.5,62.5192074783315,"max",1072
20.75,21.75,39.1145888884001,"min",721
20.75,21.75,9.09230012756334,"max",721
20.75,21.75,60.198944354026,"max",721
21,22,39.807989525629,"min",657
21,22,9.10438755172504,"max",657
21,22,61.9699879428831,"max",657
21.25,22.25,40.4850216976026,"min",512
21.25,22.25,8.95820650038538,"max",512
21.25,22.25,61.7364304601712,"max",512
21.5,22.5,43.6192797525987,"min",442
21.5,22.5,8.75680945076196,"max",442
21.5,22.5,61.050514903517,"max",442
21.75,22.75,43.0964163825517,"min",462
21.75,22.75,8.89379977076022,"max",462
21.75,22.75,61.4435153597379,"max",462
22,23,43.616891499636,"min",484
22,23,9.73169890204658,"max",484
22,23,62.719953098277,"max",484
22.25,23.25,43.7747927144757,"min",555
22.25,23.25,9.75342117177386,"max",555
22.25,23.25,64.042843846298,"max",555
22.5,23.5,43.5408562769992,"min",623
22.5,23.5,10.1161278067099,"max",623
22.5,23.5,65.3498989668333,"max",623
22.75,23.75,42.8597891784879,"min",713
22.75,23.75,10.2389036622506,"max",713
22.75,23.75,64.9268587924132,"max",713
23,24,41.1768119526426,"min",723
23,24,10.1420377509875,"max",723
23,24,64.2724578701534,"max",723
23.25,24.25,40.2146364902819,"min",637
23.25,24.25,10.1440639939916,"max",637
23.25,24.25,63.7899653273736,"max",637
23.5,24.5,39.677938390723,"min",497
23.5,24.5,9.98494232789538,"max",497
23.5,24.5,62.254431264939,"max",497
23.75,24.75,41.3119350420529,"min",328
23.75,24.75,10.3025613208016,"max",328
23.75,24.75,62.3028957149,"max",328
24,25,41.332283095017,"min",278
24,25,10.5686552646238,"max",278
24,25,62.8910459052926,"max",278
24.25,25.25,41.6043669230506,"min",255
24.25,25.25,10.7511568643851,"max",255
24.25,25.25,63.0782011238818,"max",255
24.5,25.5,40.8687542918852,"min",275
24.5,25.5,10.5072954537051,"max",275
24.5,25.5,62.7688229620478,"max",275
